n 1899
m 1375
e 1 3
e 1 36
e 1 132
e 1 42
e 1 1675
e 1 44
e 1 652
e 1 146
e 1 1779
e 1 211
e 1 312
e 1 1626
e 1 32
e 1 1790
e 1 1312
e 2 3
e 3 1793
e 3 1795
e 3 9
e 3 1419
e 3 1807
e 3 146
e 3 1042
e 3 768
e 3 281
e 3 26
e 3 283
e 3 1180
e 3 285
e 3 32
e 3 928
e 3 545
e 3 1187
e 3 36
e 3 1189
e 3 800
e 3 41
e 3 44
e 3 1196
e 3 687
e 3 176
e 3 1585
e 3 1713
e 3 180
e 3 1461
e 3 1463
e 3 824
e 3 701
e 3 582
e 3 333
e 3 338
e 3 83
e 3 1748
e 3 346
e 3 1626
e 3 610
e 3 482
e 3 740
e 3 741
e 3 615
e 3 234
e 3 1262
e 3 752
e 3 1649
e 3 754
e 3 242
e 3 372
e 3 1784
e 3 249
e 3 893
e 3 640
e 8 1799
e 8 9
e 8 1899
e 8 430
e 8 847
e 8 19
e 8 1814
e 8 32
e 9 899
e 9 12
e 9 1308
e 9 1181
e 9 32
e 9 1313
e 9 1190
e 9 1839
e 9 1338
e 9 1731
e 9 67
e 9 708
e 9 1624
e 9 1118
e 9 97
e 9 1380
e 9 1255
e 9 1387
e 9 1644
e 9 1781
e 12 1313
e 12 868
e 12 1312
e 12 997
e 12 1831
e 12 1387
e 12 1644
e 12 398
e 12 143
e 12 144
e 12 1808
e 12 974
e 12 1624
e 12 27
e 12 1246
e 12 1343
e 12 32
e 15 523
e 19 1313
e 19 1026
e 19 105
e 19 1803
e 19 1645
e 19 1806
e 19 434
e 19 1749
e 19 1046
e 19 1624
e 19 1882
e 19 443
e 19 1181
e 19 1246
e 19 447
e 27 1220
e 27 1285
e 27 582
e 27 967
e 27 105
e 27 42
e 27 620
e 27 398
e 27 271
e 27 652
e 27 1009
e 27 1876
e 27 1686
e 27 1079
e 27 342
e 27 1472
e 32 1281
e 32 1285
e 32 1546
e 32 1675
e 32 523
e 32 1034
e 32 1807
e 32 1167
e 32 1809
e 32 1565
e 32 673
e 32 1829
e 32 1831
e 32 938
e 32 1838
e 32 818
e 32 443
e 32 1856
e 32 1857
e 32 1731
e 32 67
e 32 1749
e 32 1878
e 32 377
e 32 1255
e 32 1127
e 32 105
e 32 125
e 32 1781
e 32 1785
e 32 1403
e 32 1789
e 32 1791
e 36 642
e 36 1127
e 36 523
e 36 44
e 36 1657
e 36 1789
e 39 1543
e 41 1828
e 41 1807
e 41 176
e 42 1731
e 42 1280
e 42 323
e 42 1255
e 42 72
e 42 105
e 42 144
e 42 344
e 42 1724
e 42 1440
e 44 1669
e 44 1542
e 44 1789
e 44 1800
e 44 105
e 44 1866
e 44 523
e 44 1846
e 44 1850
e 44 1851
e 44 1852
e 44 189
e 44 1406
e 44 95
e 48 1540
e 48 1624
e 50 856
e 51 1217
e 51 1436
e 51 1775
e 52 1783
e 52 1543
e 59 1741
e 61 1713
e 61 1899
e 61 492
e 63 494
e 63 127
e 64 523
e 67 1796
e 67 1675
e 67 783
e 67 657
e 67 1042
e 67 1809
e 67 1304
e 67 1565
e 67 1831
e 67 180
e 67 697
e 67 1344
e 67 710
e 67 474
e 67 1770
e 67 1775
e 67 1776
e 67 1777
e 67 1781
e 67 1785
e 67 1403
e 67 256
e 69 652
e 69 1543
e 70 674
e 70 523
e 70 1543
e 72 1765
e 72 105
e 72 430
e 72 1792
e 89 523
e 90 398
e 93 211
e 93 525
e 93 1616
e 93 1624
e 95 1796
e 95 1808
e 95 924
e 95 1190
e 95 1322
e 95 1452
e 95 1837
e 95 175
e 95 1839
e 95 561
e 95 1840
e 95 1842
e 95 1843
e 95 697
e 95 1849
e 95 1859
e 95 1865
e 95 1624
e 95 1246
e 95 868
e 95 1767
e 95 1387
e 95 1649
e 95 626
e 95 1403
e 95 1788
e 95 1789
e 97 871
e 97 105
e 97 1167
e 97 1748
e 101 193
e 101 899
e 105 1667
e 105 1027
e 105 1543
e 105 1675
e 105 652
e 105 140
e 105 398
e 105 1039
e 105 1168
e 105 783
e 105 1308
e 105 415
e 105 1312
e 105 927
e 105 1831
e 105 557
e 105 175
e 105 1585
e 105 561
e 105 308
e 105 180
e 105 697
e 105 1724
e 105 1730
e 105 1731
e 105 1349
e 105 713
e 105 456
e 105 1487
e 105 1743
e 105 595
e 105 852
e 105 1624
