n 10680
m 19360
e 2 3877
e 2 7318
e 2 7329
e 3 1409
e 3 1930
e 4 2999
e 4 3149
e 5 3883
e 5 6492
e 5 6524
e 5 7330
e 7 7332
e 8 521
e 8 1158
e 8 1517
e 8 1690
e 8 1811
e 8 3535
e 8 5067
e 8 5530
e 8 5612
e 8 6451
e 8 7145
e 9 6468
e 10 1985
e 10 2313
e 10 2518
e 10 4160
e 10 7334
e 10 7335
e 10 7336
e 12 4409
e 12 4467
e 12 7209
e 12 7316
e 12 7340
e 13 6710
e 13 7341
e 14 2242
e 14 7343
e 15 7344
e 16 2086
e 16 7345
e 16 7346
e 17 1865
e 17 2787
e 17 4431
e 17 5901
e 17 7347
e 18 7348
e 18 7349
e 19 5258
e 20 1426
e 20 1894
e 20 2593
e 20 3635
e 20 7350
e 21 2883
e 22 1180
e 22 7351
e 23 275
e 23 703
e 23 1555
e 23 1968
e 23 2403
e 23 2793
e 23 3340
e 23 3790
e 23 3860
e 23 4204
e 23 4532
e 23 4822
e 23 4901
e 23 5460
e 23 5888
e 23 6097
e 23 6456
e 23 7352
e 24 3659
e 24 6226
e 24 6508
e 24 7353
e 25 2061
e 25 2163
e 25 4189
e 25 6932
e 26 1396
e 26 2270
e 26 2345
e 26 7027
e 27 1275
e 27 2116
e 27 4909
e 27 6080
e 27 6826
e 27 7356
e 27 7357
e 27 7358
e 27 7359
e 27 7360
e 27 7361
e 27 7362
e 28 5696
e 29 102
e 30 7363
e 31 2690
e 31 2993
e 31 3965
e 31 4617
e 31 7226
e 32 6452
e 34 237
e 34 4032
e 34 7364
e 34 7365
e 35 6468
e 36 4896
e 37 7366
e 38 7368
e 40 7369
e 41 6147
e 41 7371
e 42 4757
e 43 7372
e 43 7373
e 44 3527
e 44 4414
e 44 4656
e 44 5513
e 44 5721
e 44 6182
e 44 7123
e 44 7154
e 44 7167
e 44 7308
e 44 7328
e 44 7374
e 45 872
e 45 5563
e 46 521
e 46 3535
e 46 3788
e 46 4509
e 46 4663
e 46 5776
e 46 7097
e 46 7132
e 47 1896
e 47 4137
e 47 5200
e 47 6090
e 47 7375
e 47 7376
e 48 7370
e 49 4538
e 49 5919
e 50 4552
e 51 1875
e 51 7377
e 51 7378
e 52 7260
e 53 3157
e 53 4647
e 53 6085
e 53 6099
e 53 6527
e 53 7379
e 53 7383
e 54 5729
e 54 7384
e 54 7385
e 54 7386
e 56 1095
e 56 1691
e 56 2461
e 56 6590
e 56 7388
e 56 7389
e 57 714
e 59 7390
e 60 2249
e 60 5058
e 60 7391
e 60 7392
e 60 7393
e 60 7394
e 60 7396
e 60 7397
e 61 7007
e 62 2770
e 63 3262
e 64 2196
e 65 4538
e 66 5661
e 66 7344
e 67 1845
e 67 3647
e 68 3692
e 69 778
e 69 1727
e 69 2166
e 69 2200
e 69 2736
e 69 3176
e 69 4467
e 69 4654
e 69 5291
e 69 7089
e 69 7403
e 70 3137
e 71 7404
e 72 5760
e 73 1861
e 73 7405
e 73 7406
e 74 3410
e 74 4428
e 74 5941
e 74 6656
e 77 4347
e 77 7409
e 78 6544
e 79 1386
e 79 6578
e 79 7412
e 79 7413
e 81 5623
e 81 7415
e 82 2016
e 83 7416
e 84 2668
e 85 6640
e 86 7370
e 87 3618
e 88 129
e 89 4369
e 89 4849
e 91 7418
e 92 6010
e 92 7419
e 93 344
e 93 618
e 93 2735
e 93 4357
e 93 4400
e 93 4869
e 93 6138
e 93 6275
e 93 7420
e 93 7421
e 95 7423
e 96 6099
e 97 6907
e 97 7287
e 98 1084
e 98 1805
e 98 1929
e 98 4229
e 98 4780
e 98 6163
e 98 6868
e 98 7211
e 98 7424
e 98 7425
e 98 7426
e 98 7427
e 98 7428
e 98 7429
e 98 7430
e 98 7431
e 99 7432
e 100 4857
e 100 6199
e 101 4772
e 102 6543
e 102 7433
e 103 2551
e 103 7434
e 104 1042
e 104 2047
e 104 4195
e 105 5530
e 105 5849
e 105 6756
e 105 6925
e 105 7041
e 106 193
e 106 1841
e 106 6251
e 106 7021
e 106 7322
e 106 7435
e 107 7423
e 108 6463
e 109 738
e 110 6818
e 111 3143
e 112 170
e 112 276
e 112 344
e 112 1487
e 112 1765
e 112 1876
e 112 1972
e 112 1982
e 112 2007
e 112 2657
e 112 2735
e 112 3638
e 112 3991
e 112 4357
e 112 4467
e 112 4869
e 112 5499
e 112 5936
e 112 6022
e 112 6084
e 112 6213
e 112 6442
e 112 6452
e 112 7244
e 112 7316
e 112 7339
e 112 7420
