n 453
m 1610
e 1 186
e 1 207
e 1 218
e 1 227
e 1 228
e 1 229
e 1 230
e 2 3
e 2 186
e 2 408
e 3 7
e 3 186
e 3 238
e 3 243
e 3 408
e 4 6
e 4 145
e 4 147
e 4 241
e 4 243
e 5 148
e 5 186
e 6 61
e 6 158
e 6 159
e 6 167
e 6 169
e 6 170
e 6 220
e 6 222
e 6 228
e 6 243
e 6 245
e 6 350
e 6 360
e 6 374
e 6 408
e 6 426
e 6 428
e 7 68
e 7 99
e 7 145
e 7 147
e 7 227
e 7 228
e 8 23
e 8 352
e 8 353
e 9 16
e 9 182
e 10 300
e 10 386
e 10 387
e 10 408
e 10 449
e 11 299
e 11 408
e 12 176
e 12 182
e 12 249
e 13 89
e 13 112
e 13 153
e 13 186
e 13 193
e 13 205
e 13 231
e 14 145
e 14 147
e 14 202
e 14 205
e 14 371
e 14 408
e 15 356
e 16 17
e 16 176
e 16 182
e 17 18
e 17 176
e 17 182
e 18 19
e 18 176
e 18 182
e 18 352
e 18 354
e 19 352
e 19 354
e 20 21
e 20 352
e 21 22
e 21 352
e 21 354
e 22 23
e 22 352
e 22 354
e 23 352
e 23 353
e 23 354
e 24 186
e 24 227
e 24 228
e 24 287
e 25 103
e 25 186
e 25 227
e 25 228
e 25 289
e 26 186
e 26 227
e 26 228
e 26 292
e 27 39
e 27 186
e 27 228
e 27 229
e 27 230
e 27 392
e 28 44
e 28 186
e 28 227
e 28 228
e 29 30
e 29 76
e 29 186
e 29 227
e 29 228
e 30 90
e 30 153
e 30 227
e 30 228
e 31 186
e 31 205
e 31 212
e 32 76
e 32 155
e 32 186
e 32 298
e 32 392
e 33 37
e 33 145
e 33 147
e 33 153
e 33 408
e 34 166
e 34 371
e 34 372
e 35 399
e 35 437
e 36 37
e 36 45
e 36 145
e 36 147
e 36 229
e 36 230
e 37 145
e 38 44
e 38 88
e 38 153
e 38 427
e 39 153
e 39 227
e 39 228
e 39 229
e 39 427
e 40 117
e 40 173
e 40 174
e 41 186
e 41 228
e 42 43
e 42 49
e 42 155
e 42 186
e 42 227
e 42 228
e 43 155
e 43 396
e 44 227
e 44 228
e 44 229
e 44 230
e 45 155
e 45 229
e 46 227
e 46 288
e 47 107
e 47 227
e 47 228
e 47 291
e 48 186
e 48 227
e 48 290
e 49 155
e 49 422
