n 115
m 524
e 1 2
e 1 5
e 1 10
e 1 17
e 1 24
e 1 34
e 1 36
e 1 42
e 1 91
e 1 94
e 1 105
e 2 26
e 2 28
e 2 34
e 2 38
e 2 46
e 2 58
e 2 90
e 2 102
e 2 104
e 2 106
e 2 110
e 3 4
e 3 7
e 3 14
e 3 15
e 3 61
e 3 65
e 3 73
e 3 75
e 3 101
e 3 107
e 4 6
e 4 12
e 4 27
e 4 41
e 4 53
e 4 59
e 4 73
e 4 75
e 4 82
e 4 103
e 5 10
e 5 24
e 5 29
e 5 42
e 5 70
e 5 94
e 5 109
e 6 11
e 6 12
e 6 53
e 6 75
e 6 82
e 6 85
e 6 91
e 6 98
e 6 99
e 6 108
e 7 33
e 7 40
e 7 48
e 7 56
e 7 59
e 7 61
e 7 65
e 7 86
e 7 107
e 8 9
e 8 22
e 8 23
e 8 41
e 8 69
e 8 74
e 8 78
e 8 79
e 8 83
e 8 109
e 8 112
e 9 10
e 9 22
e 9 23
e 9 42
e 9 69
e 9 78
e 9 79
e 9 91
e 9 112
e 10 23
e 10 24
e 10 42
e 10 65
e 10 94
e 10 105
e 10 109
e 11 12
e 11 61
e 11 73
e 11 82
e 11 85
e 11 99
e 11 103
e 11 108
e 12 25
e 12 29
e 12 51
e 12 70
e 12 98
e 12 105
e 13 15
e 13 18
e 13 19
e 13 27
e 13 35
e 13 37
e 13 39
e 13 44
e 13 86
e 14 16
e 14 33
e 14 40
e 14 46
e 14 65
e 14 101
e 14 107
e 14 111
e 15 16
e 15 39
e 15 44
e 15 55
e 15 72
e 15 86
e 16 33
e 16 40
e 16 48
e 16 69
e 16 93
e 16 101
e 16 107
e 16 115
e 17 24
e 17 39
e 17 42
e 17 68
e 17 82
e 17 94
e 17 105
e 18 21
e 18 28
e 18 63
e 18 66
e 18 88
e 18 96
e 18 97
e 18 114
e 19 20
e 19 32
e 19 37
e 19 39
e 19 43
e 19 55
e 19 62
e 19 72
e 19 100
e 20 30
e 20 34
e 20 36
e 20 37
e 20 45
e 20 56
e 20 80
e 20 102
e 21 22
e 21 37
e 21 63
e 21 66
e 21 77
e 21 88
e 21 97
e 21 114
e 22 33
e 22 47
e 22 52
e 22 69
e 22 78
e 22 112
e 23 24
e 23 48
e 23 52
e 23 69
e 23 78
e 23 79
e 24 91
e 24 94
e 24 105
e 24 112
e 25 26
e 25 29
e 25 51
e 25 67
e 25 70
e 25 85
e 25 88
e 25 91
e 25 111
e 26 34
e 26 46
e 26 54
e 26 90
e 26 104
e 26 106
e 26 110
e 27 28
e 27 39
e 27 43
e 27 44
e 27 86
e 28 64
e 28 66
e 28 71
e 28 97
e 29 51
e 29 70
e 29 79
e 29 91
e 30 31
e 30 36
e 30 43
e 30 56
e 30 80
e 30 81
e 30 83
e 30 92
e 30 95
e 30 102
e 31 36
e 31 45
e 31 51
e 31 56
e 31 80
e 31 83
e 31 95
e 31 102
e 31 110
e 32 33
e 32 35
e 32 44
e 32 55
e 32 56
e 32 62
e 32 72
e 32 80
e 32 86
e 33 40
e 33 48
e 33 65
e 33 101
e 33 107
e 34 38
e 34 46
e 34 90
e 34 106
e 34 110
e 35 36
e 35 62
e 35 100
e 36 45
e 36 56
e 36 80
e 36 93
e 36 102
e 37 38
e 37 44
e 37 59
e 37 60
e 38 46
e 38 81
e 38 90
e 38 96
e 38 104
e 38 106
e 38 110
e 39 40
e 39 44
e 39 55
e 39 72
e 40 48
e 40 55
e 40 83
e 40 101
e 40 107
e 41 42
e 41 52
e 41 53
e 41 73
e 41 75
e 41 82
e 41 99
e 41 103
e 41 108
e 42 68
e 42 94
e 43 44
e 43 58
e 43 64
e 44 62
e 44 71
e 44 80
e 44 86
e 45 49
e 45 67
e 45 76
e 45 87
e 45 92
e 45 113
e 46 63
e 46 90
e 46 104
e 46 106
e 46 110
e 47 48
e 47 50
e 47 54
e 47 68
e 47 84
e 47 89
e 47 111
e 47 112
e 47 115
e 48 61
e 48 62
e 48 101
e 49 50
e 49 54
e 49 58
e 49 67
e 49 76
e 49 87
e 49 93
e 49 97
e 50 54
e 50 68
e 50 74
e 50 84
e 50 89
e 50 111
e 50 115
e 51 52
e 51 69
e 51 70
e 51 79
e 51 91
e 52 69
e 52 78
e 52 79
e 52 102
e 52 109
e 52 112
e 53 75
e 53 85
e 53 99
e 54 74
e 54 87
e 54 89
e 54 111
e 54 115
e 55 56
e 55 62
e 55 72
e 55 100
e 56 80
e 56 90
e 56 95
e 56 102
e 57 58
e 57 63
e 57 71
e 57 77
e 57 88
e 57 96
e 57 97
e 57 107
e 58 76
e 58 87
e 58 93
e 58 113
e 59 64
e 59 89
e 59 98
e 59 102
e 59 115
e 60 61
e 60 64
e 60 67
e 60 77
e 60 98
e 60 114
e 61 107
e 62 63
e 62 72
e 62 93
e 62 100
e 63 71
e 63 77
e 63 88
e 63 96
e 63 106
e 64 65
e 64 66
e 64 98
e 64 110
e 64 113
e 65 101
e 65 107
e 65 112
e 66 67
e 66 71
e 66 88
e 66 97
e 66 114
e 67 76
e 67 77
e 67 87
e 67 93
e 68 69
e 68 84
e 68 89
e 68 105
e 68 115
e 69 79
e 69 109
e 69 112
e 70 71
e 70 84
e 70 89
e 70 91
e 70 92
e 70 96
e 71 104
e 71 114
e 72 73
e 72 100
e 73 75
e 73 82
e 73 103
e 73 105
e 73 108
e 74 75
e 74 84
e 74 89
e 74 111
e 74 115
e 75 103
e 76 77
e 76 87
e 76 93
e 76 108
e 76 113
e 77 96
e 77 97
e 77 114
e 78 79
e 78 83
e 78 99
e 78 109
e 78 112
e 79 112
e 80 81
e 80 95
e 80 102
e 81 83
e 81 86
e 81 92
e 81 94
e 81 95
e 81 111
e 82 83
e 82 84
e 82 85
e 82 99
e 82 108
e 83 94
e 83 95
e 83 101
e 84 85
e 84 89
e 84 111
e 84 115
e 85 108
e 86 100
e 87 88
e 87 92
e 87 93
e 87 98
e 88 96
e 88 97
e 88 105
e 89 108
e 89 111
e 89 115
e 90 100
e 90 104
e 90 106
e 90 110
e 92 94
e 92 113
e 93 107
e 93 113
e 94 105
e 95 102
e 97 113
e 97 114
e 98 99
e 98 113
e 99 103
e 99 108
e 100 101
e 101 103
e 103 108
e 104 106
e 104 110
e 105 115
e 109 112
e 111 115
