n 1490
m 13675
e 1 2
e 1 21
e 1 23
e 1 55
e 1 68
e 1 85
e 1 115
e 1 155
e 1 190
e 1 241
e 1 256
e 1 257
e 1 323
e 1 434
e 1 483
e 1 498
e 1 575
e 1 642
e 1 644
e 1 1131
e 1 1245
e 1 1435
e 2 18
e 2 24
e 2 29
e 2 99
e 2 144
e 2 154
e 2 159
e 2 180
e 2 238
e 2 248
e 2 323
e 2 332
e 2 363
e 2 389
e 2 391
e 2 431
e 2 446
e 2 483
e 2 495
e 2 544
e 2 547
e 2 563
e 2 564
e 2 566
e 2 572
e 2 623
e 2 641
e 2 644
e 2 659
e 2 664
e 2 669
e 2 687
e 2 754
e 2 756
e 2 1131
e 5 720
e 5 721
e 5 1437
e 6 737
e 7 454
e 8 40
e 8 180
e 8 181
e 8 202
e 8 224
e 8 241
e 8 264
e 8 387
e 8 393
e 8 512
e 8 524
e 8 567
e 8 568
e 8 572
e 8 574
e 8 604
e 8 634
e 8 722
e 8 754
e 8 1131
e 9 55
e 9 145
e 9 155
e 9 210
e 9 641
e 9 741
e 9 756
e 9 996
e 10 55
e 10 301
e 10 461
e 10 472
e 10 477
e 10 575
e 10 641
e 10 644
e 10 687
e 10 756
e 10 1063
e 11 1055
e 12 96
e 12 155
e 12 659
e 13 15
e 13 55
e 13 72
e 13 75
e 13 118
e 13 144
e 13 180
e 13 202
e 13 218
e 13 259
e 13 297
e 13 323
e 13 344
e 13 363
e 13 374
e 13 383
e 13 422
e 13 440
e 13 454
e 13 460
e 13 461
e 13 465
e 13 468
e 13 480
e 13 492
e 13 501
e 13 512
e 13 561
e 13 568
e 13 585
e 13 589
e 13 600
e 13 620
e 13 623
e 13 642
e 13 675
e 13 676
e 13 699
e 13 729
e 13 743
e 13 747
e 13 764
e 13 1131
e 13 1427
e 13 1478
e 14 55
e 14 56
e 14 72
e 14 113
e 14 118
e 14 119
e 14 144
e 14 150
e 14 154
e 14 155
e 14 187
e 14 297
e 14 301
e 14 312
e 14 323
e 14 347
e 14 363
e 14 394
e 14 405
e 14 417
e 14 441
e 14 454
e 14 460
e 14 480
e 14 483
e 14 492
e 14 493
e 14 495
e 14 512
e 14 524
e 14 563
e 14 570
e 14 577
e 14 591
