n 4941
m 5344
e 1 396
e 1 452
e 2 3554
e 2 3588
e 2 3638
e 3 3584
e 4 4931
e 5 89
e 6 14
e 6 121
e 7 9
e 9 10
e 10 11
e 10 62
e 10 76
e 10 206
e 10 209
e 11 51
e 12 95
e 12 126
e 14 15
e 14 16
e 15 30
e 15 148
e 19 20
e 19 191
e 20 21
e 20 131
e 22 52
e 23 4446
e 25 54
e 25 4462
e 26 59
e 26 137
e 27 95
e 27 132
e 27 140
e 28 167
e 29 99
e 30 131
e 30 161
e 31 124
e 31 141
e 32 63
e 32 105
e 33 156
e 33 175
e 34 35
e 35 36
e 35 98
e 36 37
e 36 70
e 36 142
e 36 143
e 37 38
e 37 39
e 37 40
e 37 48
e 37 158
e 41 98
e 42 43
e 42 59
e 42 233
e 43 99
e 43 182
e 44 95
e 44 164
e 45 48
e 46 48
e 47 48
e 47 185
e 51 140
e 51 206
e 52 121
e 52 195
e 53 112
e 53 173
e 55 110
e 56 89
e 57 120
e 57 153
e 57 176
e 57 199
e 58 2563
e 59 60
e 59 168
e 60 61
e 61 155
e 62 210
e 63 155
e 66 69
e 67 70
e 68 71
e 69 980
e 69 4894
e 70 71
e 70 1031
e 70 1053
e 70 2345
e 72 225
e 73 74
e 73 216
e 74 92
e 74 232
e 75 99
e 77 78
e 77 111
e 77 186
e 78 171
e 79 80
e 79 110
e 80 81
e 81 185
e 81 200
e 81 990
e 82 2563
e 84 219
e 84 222
e 85 4447
e 86 152
e 86 4449
e 87 111
e 88 89
e 88 90
e 89 91
e 89 173
e 89 196
e 89 199
e 92 497
e 92 4447
e 93 95
e 93 124
e 93 175
e 94 95
e 95 96
e 95 132
e 96 130
e 96 172
e 97 145
e 97 149
e 99 101
e 99 126
e 99 136
e 99 206
e 100 101
e 100 4460
e 102 124
e 103 141
e 104 154
e 104 191
e 105 175
e 105 223
e 106 185
e 106 1031
e 106 1056
e 108 179
e 109 117
e 109 4121
e 112 149
e 112 193
e 113 114
e 113 216
e 115 116
e 117 118
e 117 208
e 120 149
e 120 176
e 122 123
e 123 124
e 124 141
e 125 154
e 125 195
e 125 233
e 126 209
e 127 130
e 128 130
e 129 130
e 130 208
e 133 4462
e 135 223
e 135 237
e 136 237
e 137 147
e 138 224
e 138 225
e 138 230
e 139 140
e 139 141
e 139 144
e 139 151
e 139 206
e 139 4883
e 140 141
e 141 142
e 141 187
e 142 143
e 144 152
e 145 193
e 146 195
e 147 154
e 150 199
e 151 182
e 151 192
e 153 199
e 154 158
e 154 159
e 155 156
e 155 158
e 155 160
e 155 174
e 157 190
e 162 197
e 163 164
e 163 166
e 164 165
e 164 192
e 167 177
e 169 171
e 169 230
e 170 171
e 170 188
e 170 228
e 171 172
e 178 179
e 178 180
e 178 181
e 180 200
e 180 207
e 183 185
e 184 185
e 186 188
e 188 229
e 188 231
e 196 205
e 198 202
e 199 201
e 199 202
e 200 202
e 206 208
e 207 208
e 211 212
e 211 213
e 211 214
e 215 216
e 215 500
e 217 226
e 217 229
e 221 222
e 224 228
e 227 230
e 227 231
e 234 235
e 239 253
e 239 319
e 239 4424
e 240 334
e 240 355
e 241 317
e 241 328
e 241 338
e 242 243
e 242 352
e 243 364
e 243 365
e 243 366
e 243 367
e 244 343
e 244 356
e 245 336
e 246 248
e 247 248
e 247 258
e 247 299
e 247 372
e 248 331
e 249 251
e 250 281
e 250 306
e 250 313
e 250 314
e 250 361
e 252 253
e 252 290
e 252 368
e 253 254
e 253 290
e 253 323
e 253 377
e 254 338
e 254 4363
e 255 256
e 255 330
e 256 286
e 256 300
e 257 260
e 258 260
e 258 311
e 258 361
e 258 369
e 258 382
e 259 312
e 261 262
e 261 288
e 261 351
e 261 370
e 261 383
e 262 263
e 262 268
e 262 335
e 263 345
e 263 346
e 265 282
e 265 335
e 266 309
e 267 351
e 269 270
e 270 347
e 270 363
e 271 275
e 272 275
e 273 275
e 273 373
e 274 275
e 275 276
e 275 326
e 275 363
e 277 352
e 278 315
e 278 343
e 279 299
e 279 379
e 280 281
e 280 283
e 280 296
e 280 303
e 280 314
e 281 306
e 281 313
e 281 314
e 282 335
e 283 285
e 283 296
e 283 314
e 284 285
e 285 306
e 285 367
e 286 307
e 286 317
e 286 1179
e 288 352
e 289 291
e 291 337
e 291 4436
e 292 293
e 293 326
e 293 363
e 294 299
e 296 303
e 297 366
e 298 301
e 298 309
e 298 341
e 299 336
e 300 317
e 300 363
e 303 314
e 304 308
e 304 317
e 305 306
e 306 307
e 306 314
e 307 317
e 309 324
e 309 341
e 310 354
e 310 4432
e 311 312
e 312 345
e 312 346
e 313 314
e 315 316
e 315 327
e 316 317
e 316 357
e 317 338
e 318 319
e 318 1120
e 320 321
e 320 371
e 321 322
e 322 4342
e 325 326
e 328 329
e 328 380
e 330 331
e 331 358
e 332 341
e 332 381
e 333 334
e 333 354
e 333 356
e 335 353
e 336 374
e 337 338
e 337 339
e 339 340
e 341 342
e 343 356
e 348 353
e 349 353
e 350 351
e 351 370
e 354 355
e 354 356
e 354 375
e 355 4427
e 356 357
e 358 378
e 360 362
e 361 382
e 362 363
e 372 379
e 376 379
e 384 385
e 384 430
e 384 446
e 384 456
e 384 463
e 385 448
e 386 387
e 387 388
e 387 446
e 387 2308
e 389 431
e 390 438
e 390 2283
e 391 392
e 392 393
e 393 403
e 393 407
e 393 426
e 393 437
e 394 396
e 394 448
e 394 2224
e 395 443
e 395 458
e 396 420
e 396 2214
e 397 398
e 397 400
e 397 401
e 397 421
e 397 2284
e 402 403
e 403 412
e 403 436
e 403 437
e 403 440
e 405 406
e 406 458
e 406 461
e 408 409
e 409 452
e 409 457
e 411 412
e 412 1217
e 413 474
e 414 415
e 414 416
e 414 460
e 414 463
e 414 465
e 414 469
e 415 426
e 417 418
e 417 445
e 417 451
e 417 470
e 419 422
e 420 457
e 421 422
e 421 427
e 421 2284
e 423 440
e 423 1785
e 424 431
e 425 426
e 425 444
e 425 445
e 426 427
e 427 448
e 427 3988
e 429 460
e 430 447
e 430 471
e 431 442
e 431 470
e 432 433
e 432 434
e 432 473
e 433 437
e 436 1298
e 439 473
e 439 474
e 441 442
e 442 443
e 443 467
e 444 465
e 444 469
e 450 468
e 451 469
e 452 454
e 455 471
e 456 460
e 457 466
e 458 461
e 459 462
e 464 468
e 465 470
e 472 473
e 475 482
e 475 4174
e 476 4114
e 476 4447
e 477 478
e 478 485
e 479 480
e 479 493
e 479 499
e 480 481
e 480 482
e 481 494
e 482 492
e 482 4112
e 483 486
e 483 490
e 483 495
e 483 496
e 484 485
e 484 3770
e 485 486
e 485 494
e 485 497
e 486 487
e 486 490
e 486 498
e 486 499
e 488 492
e 491 2427
e 491 2543
e 491 2544
e 491 2549
e 491 2681
e 491 2833
e 491 2835
e 491 2836
e 491 2837
e 491 2950
e 493 498
e 494 4447
e 496 497
e 497 500
e 501 502
e 502 550
e 502 574
e 503 505
e 504 505
e 505 524
e 505 565
e 506 549
e 506 552
e 507 540
e 507 547
e 507 566
e 508 547
e 508 567
e 509 567
e 510 546
e 510 572
e 511 562
e 512 513
e 512 535
e 512 539
e 512 551
e 512 552
e 515 4459
e 516 520
e 517 521
e 518 521
e 519 521
e 521 2313
e 522 523
e 522 829
e 522 833
e 522 4449
e 523 571
e 523 4121
e 524 525
e 524 526
e 524 533
e 525 529
e 526 531
e 527 528
e 527 4146
e 529 530
e 533 534
e 533 549
e 533 557
e 533 565
e 533 569
e 533 574
e 534 571
e 536 537
e 536 560
e 536 575
e 537 538
e 537 558
e 540 542
e 540 543
e 540 544
e 540 545
e 541 570
e 542 570
e 543 551
e 544 546
e 544 562
e 544 566
e 545 546
e 545 567
e 547 554
e 547 559
e 547 560
e 548 549
e 548 556
e 549 550
e 549 552
e 549 569
e 551 552
e 553 556
e 554 556
e 557 564
e 558 559
e 559 563
e 561 562
e 563 564
e 565 1482
e 568 569
e 570 571
e 570 4459
e 576 658
e 576 660
e 576 661
e 576 731
e 577 583
e 577 626
e 577 641
e 578 579
e 579 611
e 580 703
e 582 627
e 583 584
e 583 585
e 583 613
e 583 646
e 585 586
e 585 653
e 585 673
e 585 681
e 586 615
e 587 588
e 588 625
e 588 670
e 588 680
e 588 704
e 590 591
e 590 592
e 590 595
e 590 693
e 593 594
e 593 598
e 593 631
e 595 596
e 595 597
e 595 629
e 595 706
e 598 599
e 598 600
e 598 601
e 598 602
e 598 603
e 598 658
e 604 605
e 605 606
e 605 607
e 605 658
e 605 692
e 606 659
e 608 611
e 609 610
e 610 658
e 610 663
e 611 723
e 613 614
e 613 641
