n 515280
m 46102
e 4 107321
e 4 136803
e 4 34396
e 5 114818
e 5 117123
e 5 53508
e 5 127877
e 5 169736
e 5 58254
e 5 62483
e 5 242583
e 5 260760
e 5 262827
e 5 241580
e 5 202806
e 5 285752
e 5 19779
e 5 260804
e 5 152405
e 5 247766
e 5 191448
e 5 117599
e 5 6115
e 5 147044
e 5 215526
e 5 235
e 5 70254
e 5 178543
e 5 32239
e 5 255990
e 5 251639
e 5 106495
e 10 292567
e 12 31473
e 12 270913
e 12 277081
e 17 266923
e 17 7035
e 17 268597
e 24 267266
e 24 119531
e 24 286161
e 24 171608
e 24 9308
e 24 80864
e 28 226026
e 28 254823
e 28 250032
e 35 166381
e 41 169736
e 41 62483
e 41 6807
e 41 49175
e 41 178596
e 41 11307
e 41 256691
e 41 265909
e 41 277433
e 41 259011
e 41 259526
e 41 25165
e 41 256211
e 41 35795
e 41 191958
e 41 182500
e 41 247781
e 41 197879
e 41 15352
e 41 279035
e 41 268157
e 45 29020
e 46 241754
e 46 25061
e 49 158849
e 49 137505
e 49 109540
e 49 22949
e 49 250503
e 49 267591
e 49 231756
e 49 139532
e 49 71503
e 49 176689
e 49 209714
e 49 22001
e 49 257532
e 49 250527
e 52 34298
e 63 277244
e 65 71205
e 66 148451
e 69 195243
e 72 170833
e 72 16835
e 72 266012
e 72 164341
e 73 108339
e 73 52975
e 80 34298
e 82 45534
e 87 227922
e 87 269206
e 88 282290
e 88 79522
e 88 167115
e 88 107450
e 90 153297
e 90 177147
e 90 26246
e 90 143200
e 101 9640
e 104 248242
e 107 278281
e 107 9868
e 107 117893
e 114 294667
e 114 151821
e 114 30482
e 114 17940
e 114 110874
e 114 212123
e 114 7472
e 114 152390
e 114 40393
e 114 39243
e 114 150877
e 114 89438
e 114 18665
e 114 233324
e 114 104304
e 114 95857
e 114 93299
e 114 69112
e 114 181242
e 114 7035
e 114 61568
e 115 23814
e 115 26246
e 119 114038
e 123 66154
e 128 190961
e 128 269200
e 129 163812
e 129 66309
e 129 295213
e 129 30482
e 129 123666
e 129 189845
e 129 55350
e 130 146105
e 131 4745
e 131 216492
e 132 189863
e 132 78090
e 132 16395
e 132 252531
e 132 30804
e 132 228117
e 132 2080
e 133 257541
e 136 265954
e 136 136803
e 136 5252
e 136 171245
e 143 34298
e 145 183497
e 145 40955
e 145 26246
e 150 268068
e 150 240453
e 150 76327
e 150 169736
e 150 237
e 150 222799
e 150 95440
e 150 6130
e 150 12150
