n 567315
m 73374
e 1 642
e 1 83462
e 1 53514
e 1 2828
e 1 781
e 1 117269
e 1 124061
e 1 34598
e 1 148022
e 1 89018
e 1 89283
e 1 100165
e 1 710
e 1 116429
e 1 48078
e 1 29647
e 1 37844
e 1 37597
e 1 8804
e 1 46959
e 1 23668
e 1 79350
e 1 28411
e 1 66684
e 2 561
e 3 81461
e 4 45861
e 4 121714
e 4 130451
e 4 140088
e 4 76571
e 6 23685
e 6 151274
e 6 10259
e 6 26938
e 6 130044
e 6 37632
e 7 29943
e 8 122572
e 9 9666
e 9 27555
e 9 138343
e 9 2057
e 9 52492
e 9 112942
e 9 55474
e 9 24500
e 9 52534
e 9 95512
e 9 144607
e 24 66255
e 26 118604
e 26 146733
e 26 142544
e 27 66255
e 28 78499
e 34 104379
e 34 21515
e 34 31787
e 34 72590
e 34 117457
e 34 1686
e 34 28859
e 34 3260
e 34 3518
e 38 120187
e 38 55926
e 42 78897
e 49 116617
e 49 62
e 49 3279
e 51 36695
e 54 32412
e 55 117923
e 55 84868
e 55 87813
e 55 29864
e 55 2057
e 55 30792
e 55 44617
e 55 88170
e 55 124333
e 55 3279
e 55 90388
e 55 69716
e 55 102837
e 55 121879
e 55 1018
e 55 55325
e 55 40928
e 62 42245
e 62 52492
e 62 58256
e 62 145168
e 62 4880
e 62 3220
e 62 4503
e 62 55960
e 62 4257
e 62 142122
e 62 22317
e 62 24500
e 62 110773
e 62 28598
e 62 68413
e 62 44737
e 62 63554
e 62 147908
e 62 150473
e 62 48078
e 62 132430
e 62 136014
e 62 3279
e 62 71001
e 62 140891
e 62 1117
e 62 112355
e 62 43749
e 62 147558
e 62 141161
e 62 139371
e 62 112876
e 62 25197
e 62 126828
e 62 142848
e 62 33654
e 62 82812
e 62 79358
e 62 128640
e 63 121368
e 70 89738
e 71 69039
e 76 116617
e 76 83843
e 84 919
e 90 72017
e 90 1930
e 90 2939
e 90 101971
e 92 151714
e 92 6442
e 92 22317
e 92 48078
e 92 146290
e 92 136820
e 92 10165
e 94 110940
e 94 120677
e 99 75251
e 99 116507
e 100 9666
e 100 40550
e 100 16649
e 100 63886
e 100 19668
e 100 26453
e 100 92954
e 100 101850
e 103 20703
e 104 129791
e 105 110515
e 105 259837
e 105 140789
e 105 73848
e 107 130210
e 107 104102
e 107 148423
e 107 113065
e 107 22317
e 107 113746
e 107 13459
e 107 133526
e 107 126975
e 107 51705
e 107 123423
e 108 4386
e 108 51300
e 108 45957
e 108 83283
e 108 13531
e 109 111840
e 109 108804
e 109 85129
e 109 8672
e 109 40044
e 109 70610
e 109 1686
e 109 81303
e 109 49184
e 113 590
e 118 113107
e 118 33661
e 118 115158
e 120 16610
e 120 128927
e 123 100787
e 123 130741
e 123 37719
e 123 67464
e 126 36342
e 129 9067
e 133 100076
e 133 107830
e 138 42546
e 138 41678
e 141 110631
e 141 144984
e 141 111785
e 141 122994
e 141 136530
e 141 47829
e 141 15158
e 141 37719
e 141 79608
e 141 115805
e 141 3518
e 142 48078
e 142 98855
e 147 114465
e 147 84225
e 147 63078
e 147 83283
e 147 25625
e 147 51741
e 149 84988
e 152 2946
e 152 55691
e 152 64142
e 152 115727
e 152 127901
e 152 98855
e 152 74026
e 152 102828
e 152 38062
e 152 46014
e 152 90178
e 152 76872
e 152 127818
e 152 3279
e 152 95700
e 152 66902
e 152 107993
e 152 101850
e 152 126427
e 152 51300
e 152 2422
e 152 99064
e 152 2942
e 153 79812
e 154 14596
e 154 36744
e 154 65708
e 154 11546
e 154 232381
e 154 1503
e 161 52865
e 161 113907
e 163 19587
e 168 3279
e 172 112488
e 172 150590
e 172 111488
e 176 37915
e 176 150520
e 177 36744
e 178 1931
e 178 124989
e 180 60874
e 180 149685
e 182 138782
e 182 135640
e 184 6405
e 184 53351
e 184 34636
e 184 151186
e 184 1686
e 184 13751
e 184 113272
e 184 6682
e 184 38267
e 185 265
e 187 482
e 187 102661
e 187 113961
e 187 22317
e 187 74832
e 187 131282
e 187 127413
e 187 131288
e 192 133402
e 192 77243
e 192 135743
e 192 30792
e 194 47225
e 201 2924
e 204 136905
e 207 101469
e 218 146757
e 218 36744
e 218 123274
e 218 1100
e 218 120206
e 218 35344
e 218 142640
e 218 10674
e 218 139090
e 218 104469
e 218 919
e 218 95480
e 218 26298
e 218 141119
e 219 128325
e 224 138020
e 228 139663
e 228 25989
e 228 59271
e 233 118189
e 233 117590
e 233 111807
e 238 39364
e 238 115040
e 241 124836
e 241 100165
e 241 130564
e 241 8804
e 241 29864
e 241 75689
e 241 151908
e 241 138731
e 241 122284
e 241 151717
e 241 3279
e 241 142016
e 241 4377
e 241 136538
e 241 3161
e 241 3616
e 243 124039
e 245 123763
e 250 147625
e 250 84556
e 250 136412
e 263 98855
e 263 24620
e 263 39497
e 263 130126
e 263 44643
e 263 132199
e 263 45163
e 263 97396
e 263 98935
e 263 57976
e 263 90746
e 263 98435
e 263 140939
e 263 56977
e 263 146078
e 263 131246
e 263 42671
e 263 85682
e 263 113333
e 263 53952
e 263 131264
e 263 120516
e 263 60103
e 263 81098
e 263 3279
e 263 92371
e 263 1240
e 263 102620
e 263 128733
e 263 29943
e 263 127735
e 263 151799
e 263 70910
e 263 53514
e 263 126224
e 263 4377
e 263 131357
e 263 98081
e 263 16673
e 263 128294
e 263 113961
e 263 11051
e 263 63279
e 263 140090
e 263 144700
e 263 114494
e 263 90435
e 263 88902
e 263 128346
e 263 56676
e 263 140146
e 263 96128
e 263 115585
e 263 57219
e 263 116613
e 263 59271
e 263 108941
e 263 97687
e 263 128411
e 263 36258
e 263 36770
e 263 74661
e 263 10165
