n 1140149
m 285982
e 3 27268
e 3 71
e 3 13613
e 3 3214
e 3 535
e 3 1047
e 3 248
e 4 2054
e 4 4104
e 4 329742
e 4 4113
e 4 2066
e 4 284713
e 4 329798
e 4 74
e 4 329807
e 4 231506
e 4 4179
e 4 8277
e 4 338009
e 4 4195
e 4 2152
e 4 2155
e 4 2158
e 4 338043
e 4 129
e 4 338051
e 4 152
e 4 223388
e 4 329894
e 4 301664
e 4 4272
e 4 114865
e 4 352435
e 4 45240
e 4 352465
e 4 20691
e 4 211
e 4 214
e 4 221
e 4 2276
e 4 230
e 4 278764
e 4 238
e 4 289012
e 4 4345
e 4 284922
e 4 268546
e 4 2309
e 4 262407
e 4 2311
e 4 289034
e 4 250124
e 4 278797
e 4 278808
e 4 280
e 4 4385
e 4 264487
e 4 287015
e 4 289063
e 4 18731
e 4 262449
e 4 10547
e 4 314
e 4 311611
e 4 289086
e 4 51520
e 4 110912
e 4 37194
e 4 313681
e 4 22866
e 4 285013
e 4 39261
e 4 4446
e 4 354
e 4 2419
e 4 305523
e 4 86390
e 4 4473
e 4 285053
e 4 285054
e 4 340353
e 4 256391
e 4 2469
e 4 72106
e 4 430
e 4 4531
e 4 272837
e 4 463
e 4 466
e 4 4580
e 4 4582
e 4 4584
e 4 4591
e 4 4610
e 4 2563
e 4 2570
e 4 16909
e 4 2575
e 4 2576
e 4 301585
e 4 4628
e 4 2581
e 4 535
e 4 2585
e 4 133661
e 4 266785
e 4 301602
e 4 299556
e 4 301610
e 4 554
e 4 557
e 4 2606
e 4 299574
e 4 6712
e 4 4665
e 4 275012
e 4 4678
e 4 4681
e 4 4683
e 4 4694
e 4 4699
e 4 4701
e 4 4702
e 4 4703
e 4 4704
e 4 4705
e 4 4706
e 4 4707
e 4 4708
e 4 4709
e 4 4710
e 4 4711
e 4 4712
e 4 4713
e 4 4714
e 4 4715
e 4 4716
e 4 4717
e 4 4718
e 4 4719
e 4 4720
e 4 4721
e 4 4722
e 4 4723
e 4 4724
e 4 4725
e 4 4726
e 4 4727
e 4 4728
e 4 4729
e 4 4730
e 4 4731
e 4 4732
e 4 4733
e 4 4734
e 4 4735
e 4 4736
e 4 4737
e 4 4738
e 4 4739
e 4 4740
e 4 4741
e 4 4742
e 4 4743
e 4 4744
e 4 4745
e 4 4746
e 4 4747
e 4 4748
e 4 4749
e 4 4750
e 4 4751
e 4 4752
e 4 4753
e 4 4754
e 4 4755
e 4 4756
e 4 4757
e 4 4758
e 4 4759
e 4 4760
e 4 2713
e 4 4762
e 4 4763
e 4 4764
e 4 4765
e 4 4766
e 4 4767
e 4 4768
e 4 4769
e 4 4770
e 4 4771
e 4 4772
e 4 4773
e 4 4774
e 4 4775
e 4 4776
e 4 4777
e 4 4778
e 4 309931
e 4 4780
e 4 4781
e 4 4782
e 4 4779
e 4 4784
e 4 4785
e 4 4786
e 4 4787
e 4 283316
e 4 4789
e 4 4788
e 4 4790
e 4 4792
e 4 4793
e 4 4791
e 4 4794
e 4 4795
e 4 4796
e 4 4797
e 4 4798
e 4 4799
e 4 309953
e 4 4800
e 4 4802
e 4 4801
e 4 4803
e 4 4806
e 4 4804
e 4 4805
e 4 4807
e 4 4808
e 4 4809
e 4 309964
e 4 4810
e 4 4811
e 4 4815
e 4 275152
e 4 4812
e 4 4813
e 4 4814
e 4 4816
e 4 4817
e 4 4818
e 4 4819
e 4 4820
e 4 4822
e 4 4821
e 4 4823
e 4 4824
e 4 4825
e 4 4826
e 4 4827
e 4 4828
e 4 4831
e 4 4829
e 4 4830
e 4 4832
e 4 741
e 4 338661
e 4 4833
e 4 4834
e 4 4835
e 4 4837
e 4 4836
e 4 4838
e 4 4839
e 4 4840
e 4 4841
e 4 316162
e 4 342789
e 4 41737
e 4 330505
e 4 330507
e 4 37645
e 4 357143
e 4 2843
e 4 283419
e 4 297762
e 4 2856
e 4 309932
e 4 357169
e 4 2866
e 4 322355
e 4 357175
e 4 357176
e 4 828
e 4 31549
e 4 2879
e 4 322373
e 4 309938
e 4 318288
e 4 322385
e 4 293714
e 4 318291
e 4 2919
e 4 875
e 4 308090
e 4 907
e 4 293779
e 4 289687
e 4 271264
e 4 66464
e 4 2976
e 4 342944
e 4 5028
e 4 929
e 4 271273
e 4 271277
e 4 942
e 4 271280
e 4 13232
e 4 954
e 4 289729
e 4 256964
e 4 285643
e 4 74707
e 4 989
e 4 295908
e 4 66536
e 4 1006
e 4 1026
e 4 3075
e 4 295950
e 4 1038
e 4 318478
e 4 1042
e 4 304149
e 4 308247
e 4 21541
e 4 50214
e 4 3120
e 4 146485
e 4 1081
e 4 625
e 4 279622
e 4 279633
e 4 289875
e 4 267356
e 4 150627
e 4 279655
e 4 289918
e 4 240775
e 4 306323
e 4 216215
e 4 72864
e 4 318630
e 4 29868
e 4 1201
e 4 304318
e 4 302274
e 4 322226
e 4 279758
e 4 177360
e 4 1234
e 4 11479
e 4 1240
e 4 9467
e 4 7426
e 4 322237
e 4 285964
e 4 1297
e 4 277778
e 4 267550
e 4 285990
e 4 343339
e 4 93485
e 4 64822
e 4 298295
e 4 298312
e 4 1354
e 4 1359
e 4 343375
e 4 277847
e 4 1369
e 4 1374
e 4 1385
e 4 1387
e 4 1391
e 4 3440
e 4 1398
e 4 165248
e 4 15754
e 4 265612
e 4 4761
e 4 1425
e 4 265627
e 4 3487
e 4 292257
e 4 314787
e 4 7592
e 4 3500
e 4 3503
e 4 1459
e 4 314809
e 4 277946
e 4 1471
e 4 73155
e 4 292292
e 4 48580
e 4 67029
e 4 277985
e 4 300516
e 4 314854
e 4 126441
e 4 93676
e 4 206322
e 4 711
e 4 357882
e 4 4783
e 4 310791
e 4 300557
e 4 310799
